"Logout","Abmelden"
"Upload","Hochladen"
"Error","Fehler"
"Your SX cluster is down for maintenance, please try again later or contact your system administrator.","Dein SX Cluster ist aufgrund von Wartungsarbeiten nicht erreichbar. Bitte versuche es später erneut oder kontaktiere Deinen Administrator."
"SXWeb - An error occurred!","SXWeb - Ein Fehler ist aufgetreten!"
"Ops!","Ups!"
"Application encountered an internal error. Please check the configuration.","Ein interner Anwendungsfehler ist aufgetreten. Bitte überprüfe die Konfiguration."
"Parent directory","Übergeordnetes Verzeichnis"
"Rename","Umbenennen"
"Copy","Kopieren"
"Move","Verschieben"
"Delete","Löschen"
"Download","Herunterladen"
"Create Link","Freigeben"
"No files found.","Keine Dateien gefunden."
"First","Anfang"
"&lt; Previous","&lt; Zurück"
"Next &gt;","Vor &gt;"
"Last","Ende"
"Manage your account","Mein Konto verwalten"
"My Account","Mein Konto"
"Login","Einloggen"
"Username","Benutzername"
"Tech Support","Technische Unterstützung"
"Search...","Suchen…"
"Bulk Actions","Ausgewählte Dateien:"
"Share Folder","Verzeichnis freigeben"
"New Folder","Neues Verzeichnis"
"Name","Name"
"Size","Größe"
"Date","Datum"
"Password required!","Passwort erforderlich!"
"The volume you are trying to access is encrypted. Please provide the password.","Das Volume, welches du verwenden möchtest, ist verschlüsselt. Bitte gib das Passwort an."
"Unlock volume!","Volume öffnen!"
"Password","Passwort"
"Remember me","Angemeldet bleiben"
"Forgot Your Password?","Passwort vergessen?"
"Sign in","Anmelden"
"No volumes found!","Keine Volumes gefunden"
"Please ask the administrators to add at least one volume to your account.","Bitte frage Deinen Administrator, dir wenigstens ein Volume zuzuweisen."
"Reset password","Passwort zurücksetzen"
"Enter your email. You will receive a link to follow to reset your password.","Bitte gib Deine E-Mail-Adresse ein. Du erhälst einen Link um Dein Passwort zurückzusetzen."
"Email address","E-Mail-Adresse"
"Welcome to SXWeb!","Willkommen bei SXWeb!"
"This web interface safely stores your data in the <b>Skylable S<sup>X</sup></b> cluster running at %s.","Dieses Web Interface speichert Deine Daten sicher in einem <b>Skylable S<sup>X</sup></b> cluster auf %s."
"You can access your data anywhere, anytime using this web interface or one of the following applications:","Du kannst auf Deine Daten überall und zu jeder Zeit über dieses Web Interface zugreifen oder mit einer der folgenden Anwendungen:"
"Do not display again","Nicht noch einmal anzeigen"
"Great, thanks!","Super, danke!"
"Name:","Name:"
"Link to the shared file:","Link zur freigegebenen Datei:"
"Link to the shared directory:","Link zum freigegebenen Verzeichnis:"
"There are errors!","Es sind Fehler aufgetreten!"
"File: <span>%s</span>","Datei: <span>%s</span>"
"Directory: <span>%s</span>","Verzeichnis: <span>%s</span>"
"Password (Leave empty if none. Max allowed length is %d characters.)","Passwort (leer lassen für keines, die maximale Länge beträgt %d Zeichen)"
"Expire Time:","Freigabedauer:"
"One Day","Ein Tag"
"One Week","Eine Woche"
"Two Weeks","Zwei Wochen"
"One Month","Ein Monat"
"Never Expire","Dauerhaft"
"Notify me","Benachrichtige mich"
"Sharing the top directory of the volume will grant access to the whole volume and is irrevocable until the validity period is over. Select the checkbox below to confirm that you want to share the top directory.","Das Freigeben des Wurzelverzeichnisses eines Volumes gewährt unwiderruflichen Zugriff zu dem gesamten Volume bis die gesetzte Freigabedauer abgelaufen ist. Setze den Kontrollhaken um die Freigabe zu bestätigen."
"I know what I'm doing.","Ich weiß, was ich mache."
"Cannot share the top directory of the volume without confirmation.","Das Wurzelverzeichnis eines Volumes kann nicht ohne Bestätigung freigegeben werden."
"Downloading...","Läd…"
"Download will start in","Download startet in"
"Please enter the password to download the file: <b>%s</b>","Bitte das Passwort zum Herunterladen der Datei <b>%s</b> eingeben"
"Start downloading file: <b>%s</b> ?","Datei <b>%s</b> herunterladen?"
"Download now!","Jetzt herunterladen!"
"From:","Von:"
"To:","Nach:"
"Parent directory","Übergeordnetes Verzeichnis"
"Remove account?","Konto löschen?"
"Are you sure you want to remove your account?","Bist Du sicher, dass Du Dein Konto löschen möchtest?"
"Beware! This operation cannot be undone!","Achtung! Diese Operation kann nicht rückgängig gemacht werden!"
"Name","Name"
"Actions","Aktionen"
"Nothing found.","Nichts gefunden."
"Download the file","Datei herunterladen"
"Download","Herunterladen"
"Open folder: %s","Verzeichnis öffnen: %s"
"Open folder","Verzeichnis öffnen"
"Manage Account","Konto verwalten"
"Account info successfully updated.","Kontoinformationen erfolgreich aktualisiert"
"Change your login password here.","Ändere Dein Anmeldepasswort hier."
"New Password","Neues Passwort"
"Confirm Password","Passwort bestätigen"
"Delete Account","Konto löschen"
"Delete my account","Mein Konto löschen"
"My Account","Mein Konto"
"Connect with SXDrive","Verbinden mit SXDrive"
"Change preferences for your account","Meine Kontoeinstellungen ändern"
"SXWeb Preferences","SXWeb Einstellungen"
"Change your password or delete your account","Eigenes Passwort ändern oder Konto löschen"
"Manage account","Konto verwalten"
"SXWeb Preferences","SXWeb Einstellungen"
"File list size:","Anzahl der pro Seite anzuzeigenden Dateien:"
"File list size","Dateianzahl pro Seite"
"Save!","Speichern!"
"Clear cache","Cache leeren"
"Currently not implemented.","Noch nicht implementiert."
"Connect with SXDrive","Verbinden mit SXDrive"
"This is a demo: SXDrive cannot be used to access this cluster.","Dies ist eine Demo: SXDrive kann nicht sich nicht mit dem Cluster verbinden."
"QR Code for Android:","QR Code für Android:"
"QR Code for iOS:","QR Code für iOS:"
"Secret Key:","Geheimer Schlüssel:"
"Secret Key","Geheimer Schlüssel"
"(You can download SXDrive for Desktop here:","(Du kannst SXDrive für Desktop hier herunterladen:"
"Size: %s of %s used","Speicher: %s von %s verwendet"
"Usage: %s of %s","Verwendung: %s von %s"
"Volumes (%d)","Volumes (%d)"
"Invalid input.","Ungültige Eingabe."
"Copy failed.","Kopieren fehlgeschlagen."
"Files successfully copied.","Dateien erfolgreich kopiert."
"Internal error.","Interner Fehler."
"Move failed.","Verschieben fehlgeschlagen."
"File(s) successfully moved.","Datei(en) erfolgreich verschoben."
"Invalid destination name.","Ungültiger Zielname."
"Invalid destination path.","Ungültiger Zielpfad."
"Rename failed.","Umbenennen fehlgeschlagen."
"File not found or invalid.","Datei nicht gefunden oder ungültig."
"Invalid expire time","Ungültige Ablaufzeit"
"Failed to create the file share link.","Link zum Freigeben der Datei konnte nicht erstellt werden."
"Invalid shared file key","Ungültiger Schlüssel für die freigegebene Datei"
"File not found or expired.","Datei nicht gefunden oder abgelaufen."
"Too many concurrent downloads!","Zu viele parallele downloads!"
"Please wait a minute and retry.","Bitte warte eine Minute und versuche es dann erneut."
"File not found!","Datei nicht gefunden!"
"The file &quot;%s&quot; was not found.","Die Datei &quot;%s&quot; wurde nicht gefunden."
"Invalid file type!","Ungültiger Dateityp!"
"The file &quot;%s&quot; can't be downloaded.","Die Datei &quot;%s&quot; kann nicht heruntergeladen werden."
"Internal error, please retry later.","Interner Fehler, bitte später erneut versuchen."
"Invalid password! <a href=""%s"">Retry...</a>","Ungültiges Passwort! <a href=""%s"">Erneut versuchen…</a>"
"Invalid path.","Ungültiger Pfad."
"Failed to create directory","Verzeichnis konnte nicht erstellt werden."
"Internal error: failed to create directory","Interner Fehler: Verzeichnis konnte nicht erstellt werden."
"Invalid directory name","Ungültiger Verzeichnisname"
"Failed to delete files.","Dateien konnten nicht gelöscht werden."
"Files successfully deleted.","Dateien erfolgreich gelöscht."
"Check your config, upload dir is empty.","Bitte prüfe deine Konfiguration, das Upload-Verzeichnis ist leer."
"Internal error!","Interner Fehler!"
"'Application encountered an internal error. Please retry in a few seconds.'","Die Anwendung hat einen internen Fehler. Bitte versuche es in einigen Sekunden erneut."
"Volume unlock failed. Wrong password!","Volume konnte nicht geöffnet werden. Falsches Passwort!"
"Volume unlock failed.","Volume konnte nicht geöffnet werden."
"Incorrect password.","Ungültiges Passwort."
"Index of %s","Index von %s"
"No write access to this volume.","Keine Schreibrechte für dieses Volume."
"No read access to this volume.","Keine Leserechte für dieses Volume."
"Continue browsing files...","Dateien weiter durchstöbern…"
"Too many concurrent downloads!","Zu viele parallele downloads!"
"Please wait a minute and retry.","Bitte warte eine Minute und versuche es dann erneut."
"File not found!","Datei nicht gefunden!"
"The file &quot;%s&quot; was not found.","Die Datei &quot;%s&quot; wurde nicht gefunden."
"Invalid file type!","Ungültiger Dateityp!"
"The file &quot;%s&quot; can't be downloaded.","Die Datei &quot;%s&quot; kann nicht heruntergeladen werden."
"File not found!","Datei nicht gefunden!"
"Internal error!","Interner Fehler!"
"Application encountered an internal error.","Die Anwendung hat einen internen Fehler."
"This is a demo!","Dies ist eine Demo!"
"SXWeb is running in demo mode.","SXWeb läuft in der Demo-Version"
"Some functionality are removed or not usable.","Manche Funktionalität ist entfernt oder nicht verwendbar."
"Please upgrade to a normal version.","Bitte führe ein Upgrade auf die normale Version durch."
"Go to the home page...","Gehe zur Homepage…"
"Thank you!","Danke!"
"Login name or password are wrong, please retry.","Name oder Passwort sind falsch, bitte erneut versuchen."
"Upgrade to SX Enterprise Edition to enable full-text search in SXWeb: %s","Führe ein Upgrade auf SX Enterprise Edition durch um Volltextsuche in SXWeb zu aktivieren: %s"
"Search engine is unavailable. Contact your sysadmin.","Suchen ist nicht verfügbar. Bitte kontaktiere Deinen Administrator."
"Invalid search parameters, please retry.","Ungültige Suchparameter, bitte versuche es erneut."
"Invalid search parameters.","Ungültige Suchparameter."
"Invalid input.","Ungültige Eingabe."
"Revisions","Versionen"
"Path not found or revisions not supported.","Pfad nicht gefunden oder Versionierung nicht unterstützt."
"Revision successfully copied.","Version erfolgreich kopiert."
"Failed to copy the revision.","Fehler beim Kopieren der Version."
"Internal error.","Interner Fehler."
"Revision not found!","Version nicht gefunden!"
"The requested revisions was not found","Die angeforderte Version wurde nicht gefunden"
"The file &quot;%s&quot; was not found.","Die Datei &quot;%s&quot; wurde nicht gefunden."
"Invalid file type!","Ungültiger Dateityp!"
"The file &quot;%s&quot; can't be downloaded.","Die Datei &quot;%s&quot; kann nicht heruntergeladen werden."
"Internal error!","Interner Fehler!"
"Application encountered an internal error.","Ein interner Anwendungsfehler ist aufgetreten."
"File Revisions","Versionierung"
"File: <strong>%s</strong>","Datei: <strong>%s</strong>"
"No revisions found.","Keine Versionen gefunden."
"Available revisions (most recent first):","Verfügbare Versionen (neueste zuerst):"
"Download this revision","Diese Version herunterladen"
"Rev. %d","V. %d"
"Restore","Wiederherstellen"
"Cancel","Abbrechen"
"Failed to create temporary directory","Fehler beim erstellen eines temporären Verzeichnisses"
"Update failed: the current password isn't valid.","Aktualisierung fehlgeschlagen: Das aktuelle Passwort ist ungültig."
"Internal error: update failed.","Interner Fehler: Update fehlgeschlagen."
"Account preferences successfully updated.","Kontoänderungen erfolgreich gespeichert."
"Language","Sprache:"
"You can download SXDrive here:","Du kannst SXDrive hier herunterladen:"
"SXDrive downloads","SXDrive herunterladen"
"Account management is currently disabled.","Konto Management ist deaktiviert."
"Invalid credentials!","Ungültige Anmeldedaten!"
"Your credentials are changed, please authenticate again.","Deine Anmeldedaten wurden geändert, bitte erneut authentifizieren."
"Sign in again...","Erneut anmelden…"
"Lets you sign in again","Erneut anmelden"
"Preview this revision","Vorschau dieser Version"
"Rev.","Rev."
"Passwords mismatch","Passwörter unterschiedlich"
"The file is already shared: the password and the expire time will be updated.","Die Datei war bereits freigegeben, das Passwort und die Freigabe"
"Passwords mismatch.","Passwörter unterschiedlich."
"Setting volume password failed.","Setzen des Volume-Passworts fehlgeschlagen."
"Setting volume password failed: wrong password!","Setzen des Volume-Passworts fehlgeschlagen: Falsches Passwort!"
"Invalid volume password.","Ungültiges Volume-Passwort."
"Files to show:","Zeige Dateien:"
"All","Alle"
"Failed to update file list page size.","Setzen der Dateianzahl pro Seite fehlgeschlagen."
"Internal error. Failed to update file list page size.","Interner fehler. Setzen der Dateianzahl pro Seite fehlgeschlagen."
"Invalid value, failed to update file list page size.","Ungültiger Wert für Dateianzahl pro Seite."
"The value must be an integer between 1 and 65535 or an empty string","Der Wert muss eine Zahl zwischen 1 und 65535 sein"
"Manage volumes","Volumes verwalten"
"No volumes found!","Keine Volumes gefunden!"
"Owner","Besitzer"
"Replica","Replizierung"
"Filter","Filter"
"Access","Zugriff"
"Used Space","Belegter Speicherplatz"
"Read","Lesen"
"Write","Schreiben"
"Read, Write","Lesen, Schreiben"
"Manage Volume","Volume verwalten"
"Manage the volume","Verwalte dieses Volume"
"Go to volume list...","Gehe zur Volume-Liste…"
"Manage Volume: %s","Aktuelles Volume: %s"
"Volume Info","Volume Info"
"Change...","Ändern…"
"Manage another volume...","Verwalte ein anderes Volume…"
"Volume Access Control List","Volume Berechtigungen"
"Add user...","User hinzufügen…"
"Fatal error: invalid volume.","Fehler: Ungültiges Volume."
"Volume not found.","Volume nicht gefunden."
"You don't have the rights to manage this volume.","Du hast keine Berechtigungen, dieses Volume zu verwalten."
"Fatal error: invalid operation.","Fehler: Ungültige Operation."
"Fatal error: invalid request.","Fehler: Ungültige Anfrage."
"Invalid maximum revision limit.","Ungültiges Versionslimit."
"Successfully set maximum revision limit.","Obergrenze für Versionenanzahl erfolgreich gesetzt."
"Maximum revisions limit unchanged.","Maximale Versionsanzahl wurde nicht geändert."
"Failed to set maximum revision limit.","Ändern der maximale Versionenanzahl fehlgeschlagen."
"Fatal error: invalid user.","Fehler: Ungültiger User."
"Fatal error: invalid permissions.","Fehler: Ungültige Berechtigungen."
"Successfully changed user privileges.","Berechtigungen des Users erfolgreich geändert."
"Failed to change user privileges.","Ändern der Berechtigungen des Users fehlgeschlagen."
"Failed to change user privileges: user not found.","Ändern der Berechtigungen fehlgeschlagen: Benutzer nicht gefunden."
"User","User"
"Privileges","Berechtigungen"
"The SX Cluster is unreachable, please try again later or contact your sysadmin.","Der SX Cluster ist nicht erreichbar. Bitte versuche es später erneut oder kontaktiere Deinen Systemadministrator."
"Settings","Einstellungen"
"Allows you to change your password","Erlaubt Dir Dein Passwort zu ändern"
"Change your password","Ändere Dein Passwort"
"Go back to settings...","Zurück…"
"Browse the volume...","Volume durchstöbern…"
"Download SXDrive config file","SXDrive Konfiguration herunterladen"
"owner","Besitzer"
"read","Lesen"
"write","Schreiben"
"manager","Verwalten"
"The email is invalid, please check it and retry.","Die E-Mail-Adresse ist ungültig, bitte überprüfe sie und versuche es erneut."
"Failed to send the email, please try again later.","Die E-Mail konnte nicht gesendet werden, bitte versuche es später erneut."
"SXWeb - Password Reset Request","SXWeb - Anfrage zum Passwort zurücksetzen"
"You have requested too many password reset tickets, please wait 24 hours and retry.","Du hast zu oft versucht, Dein Passwort zurückzusetzen. Bitte warte 24 Stunden und versuche es dann erneut."
"SXWeb - Change your password","SXWeb - Ändere Dein Passwort"
"To change your password please follow this link: %s","Um Dein Passwort zu ändern, verwende bitte den folgenden Link: %s"
"This link is valid for 24 hours.","Der Link ist für 24 Stunden gültig."
"This message was generated automatically.","Diese Nachricht wurde automatisch generiert."
"We have sent you an email with a link to follow to reset your password.","Wir haben Dir eine E-Mail gesendet mit einem Link um Dein Passwort zurückzusetzen."
"Change password","Passwort ändern"
"Change!","Ändern!"
"Invalid password: should be between %min% and %max% alphanumeric chars.","Ungültiges Passwort: Bitte verwende zwischen %min% und %max% alphanumerische Zeichen."
"Invalid password: is less than %min% characters long","Ungültiges Passwort: Es ist kürzer als %min% Zeichen"
"Invalid password: is more than %max% characters long","Ungültiges Passwort: Es ist länger %max% Zeichen"
"Invalid passwords, please check and retry.","Ungültige Passwörter, bitte prüfe diese und versuche es erneut."
"Failed to change the user password, please retry.","Das Passwort konnte nicht geändert werden. Bitte versuche es erneut."
"Password successfully changed!","Das passwort wurde geändert!"
"Invalid or expired user token, please retry.","Ungültiges oder abgelaufenes Token. Bitte versuche es erneut."
"Invalid reset password hash, please retry.","Ungültiger Hash. Bitte versuche es erneut."

