"Logout","Выход"
"Upload","Закачать"
"Error","Ошибка"
"Your SX cluster is down for maintenance, please try again later or contact your system administrator.","Кластер хранения отключён для обслуживания. Пожалуйста, попробуйте снова позже, либо свяжитесь с администратором."
"SXWeb - An error occurred!","SXWeb - произошла ошибка!"
"Ops!","Ой!"
"Application encountered an internal error. Please check the configuration.","Произошла внутренняя ошибка. Пожалуйста, проверьте конфигурацию."
"Parent directory","Родительская папка"
"Rename","Переименовать"
"Copy","Скопировать"
"Move","Перенести"
"Delete","Удалить"
"Download","Скачать"
"Create Link","Создать ссылку"
"No files found.","Файлы не найдены."
"First","Первая"
"&lt; Previous","&lt; Предыдущая"
"Next &gt;","Следующая &gt;"
"Last","Последняя"
"Manage your account","Управление учётной записью"
"My Account","Моя учётная запись"
"Login","Войти"
"Username","Пользователь"
"Tech Support","Техподдержка"
"Search...","Поиск..."
"Bulk Actions","Групповые действия"
"New Folder","Новая папка"
"Name","Имя"
"Size","Размер"
"Date","Дата"
"Password required!","Требуется пароль!"
"The volume you are trying to access is encrypted. Please provide the password.","Раздел, который вы пытаетесь открыть, зашифрован. Пожалуйста, укажите пароль."
"Unlock volume!","Разблокируйте раздел!"
"Password","Пароль"
"Remember me","Запомнить меня"
"Forgot Your Password?","Забыли пароль?"
"Sign in","Войти"
"No volumes found!","Разделы не найдены."
"Please ask the administrators to add at least one volume to your account.","Пожалуйста, попросите администраторов добавить раздел в вашу учётную запись."
"Reset password","Сбросить пароль"
"Enter your email. You will receive a link to follow to reset your password.","Введите ваш email. Вам будет выслана ссылка для сброса пароля."
"Email address","Email адрес"
"Welcome to SXWeb!","Добро пожаловать в SXWeb!"
"This web interface safely stores your data in the <b>Skylable S<sup>X</sup></b> cluster running at %s.","Этот веб-интерфейс надёжно хранит ваши данные в кластере <b>Skylable S<sup>X</sup></b>, запущенном на %s."
"You can access your data anywhere, anytime using this web interface or one of the following applications:","Вы можете обращаться в своим данным в любое время используя этот веб-интерфейс или одно из следующих приложений:"
"Do not display again","Не показывать снова"
"Great, thanks!","Отлично, спасибо!"
"Name:","Имя:"
"Link to the shared file:","URL общего файла:"
"There are errors!","Есть ошибки!"
"File: <span>%s</span>","Файл: <span>%s</span>"
"Directory: <span>%s</span>",""
"Password (Leave empty if none. Max allowed length is %d characters.)","Пароль (оставьте пустым, если его нет. Максимальная длина %d символов)"
"Expire Time:","Срок действия:"
"One Day","Один день"
"One Week","Одна неделя"
"Two Weeks","Две недели"
"One Month","Один месяц"
"Never Expire","Бессрочно"
"Are you sure you want to share the file?","Вы уверены, что хотите поделиться файлом?"
"Are you sure you want to share the directory?",""
"Downloading...","Загружается..."
"Download will start in","Загрузка начнется в течение"
"Please enter the password to download the file: <b>%s</b>","Пожалуйста, введите пароль для загрузки файла: <b>%s</b>"
"Start downloading file: <b>%s</b> ?","Начать загружать файл: <b>%s</b> ?"
"Download now!","Загрузить сейчас!"
"From:","От:"
"To:","Для:"
"Parent directory","Родительская папка"
"Remove account?","Удалить учётную запись?"
"Are you sure you want to remove your account?","Вы уверены, что хотите удалить учётную запись?"
"Beware! This operation cannot be undone!","Осторожно! Эту операцию нельзя отменить!"
"Name","Имя"
"Actions","Действия"
"Nothing found.","Ничего не нашлось."
"Download the file","Загрузить файл"
"Download","Загрузить"
"Open folder: %s","Открыть папку: %s"
"Open folder","Открыть папку"
"Manage Account","Управление учётной записью"
"Account info successfully updated.","Информация об учётной записи успешно обновлена."
"Change your login password here.","Поменяйте ваш пароль здесь."
"New Password","Новый пароль"
"Confirm Password","Подтвердить пароль"
"Delete Account","Удалить учётную запись"
"Delete my account","Удалить мою учётную запись"
"My Account","Моя учётная запись"
"Connect with SXDrive","Соединиться с SXDrive"
"Change preferences for your account","Изменить параметры учётной записи"
"SXWeb Preferences","Параметры SXWeb"
"Change your password or delete your account","Изменить пароль или удалить вашу учётную запись"
"Manage account","Управление учётной записью"
"SXWeb Preferences","Параметры SXWeb"
"File list size:","Размер списка файлов:"
"File list size","Размер списка файлов"
"Save!","Сохранить!"
"Clear cache","Очистить кэш"
"Currently not implemented.","В данный момент не реализовано."
"Connect with SXDrive","Соединиться с SXDrive"
"This is a demo: SXDrive cannot be used to access this cluster.","Это демонстрация: SXDrive не может быть использован для доступа к этому кластеру."
"QR Code for Android:","QR-код для Android:"
"QR Code for iOS:","QR-код для iOS:"
"Secret Key:","Секретный ключ:"
"Secret Key","Секретный ключ"
"(You can download SXDrive for Desktop here:","(Вы можете скачать десктопное приложение SXDrive здесь:"
"Size: %s of %s used","Размер: использовано %s из %s"
"Usage: %s of %s","Usage: %s of %s"
"Volumes (%d)","Разделы (%d)"
"Invalid input.","Ошибочный ввод."
"Copy failed.","Копирование не удалось."
"Files successfully copied.","Файлы успешно скопированы."
"Internal error.","Внутренняя ошибка."
"Move failed.","Перемещение не удалось."
"File(s) successfully moved.","Файл(ы) успешно перемещен(ы)."
"Invalid destination name.","Неправильное имя назначения."
"Invalid destination path.","Неправильный путь назначения."
"Rename failed.","Переименование не удалось."
"File not found or invalid.","Файл не найден, либо с ошибками."
"Invalid expire time","Ошибочный срок действия"
"Failed to create the file share link.","Не удалось создать ссылку общего доступа."
"Invalid shared file key","Неправильный ключ доступа к файлу"
"File not found or expired.","Файл не найден, либо истек срок действия ссылки."
"Too many concurrent downloads!","Слишком много одновременных загрузок!"
"Please wait a minute and retry.","Пожалуйста, попробуйте через минуту."
"File not found!","Файл не найден!"
"The file &quot;%s&quot; was not found.","Файл &quot;%s&quot; не найден."
"Invalid file type!","Неправильный тип файла!"
"The file &quot;%s&quot; can't be downloaded.","Файл &quot;%s&quot; не может быть заружен."
"Internal error, please retry later.","Внутренняя ошибка. Пожалуйста, попробуйте позже.."
"Invalid password! <a href=""%s"">Retry...</a>","Неправильный пароль! <a href=""%s"">Повторить...</a>"
"Invalid path.","Неправильный путь."
"Failed to create directory","Не удалось создать папку"
"Internal error: failed to create directory","Внутренняя ошибка: не удалось создать папку"
"Invalid directory name","Неправильное имя папки"
"Failed to delete files.","Не удалось удалить файлы."
"Files successfully deleted.","Файлы были успешно удалены."
"Check your config, upload dir is empty.","Проверьте ваши настройки, папка загрузки пуста.."
"Internal error!","Внутренняя ошибка!"
"Application encountered an internal error. Please retry in a few seconds.","Произошла внутренняя ошибка приложения. Пожалуйста, попробуйте ещё раз чуть позже."
"Volume unlock failed. Wrong password!","Не удалось разблокировать раздел. Неправильный пароль!"
"Volume unlock failed.","Не удалось разблокировать раздел."
"Incorrect password.","Неправильный пароль."
"Index of %s","Индекс %s"
"No write access to this volume.","Нет доступа на запись в этот раздел."
"No read access to this volume.","Нет доступа на чтение этого раздела."
"Continue browsing files...","Продолжить просмотр файлов..."
"Too many concurrent downloads!","Слишком много одновременных загрузок!"
"Please wait a minute and retry.","Пожалуйста, подождите минуту и попробуйте снова."
"File not found!","Файл не найден!"
"The file &quot;%s&quot; was not found.","Файл &quot;%s&quot; не найден."
"Invalid file type!","Неправильный тип файла!"
"The file &quot;%s&quot; can't be downloaded.","Файл &quot;%s&quot; не может быть загружен."
"File not found!","Файл не найден!"
"Internal error!","Внутренняя ошибка!"
"Application encountered an internal error.","Внутренняя ошибка приложения."
"This is a demo!","Это демонстрация!"
"SXWeb is running in demo mode.","SXWeb работает в демонстрационном режиме."
"Some functionality are removed or not usable.","Часть возможностей удалены или недоступны."
"Please upgrade to a normal version.","Пожалуйста, обновите до полноценной версии."
"Go to the home page...","На главную страницу..."
"Thank you!","Спасибо!"
"Username or password are wrong, please retry.","Имя пользователя и пароль не найдены, попробуйте ещё."
"Upgrade to SX Enterprise Edition to enable full-text search in SXWeb: %s","Обновите до SX Enterprise, чтобы получить доступ к полнотекстовому поиску: %s"
"Search engine is unavailable. Contact your sysadmin.","Поисковой сервис недоступен. Свяжитесь с администратором."
"Invalid search parameters, please retry.","Неправильные параметры поиска. Пожалуйста, попробуйте снова."
"Invalid search parameters.","Неправильные параметры поиска."
"Invalid input.","Плохой ввод."
"Revisions","Версии"
"Path not found or revisions not supported.","Путь не найден, либо версионность не поддерживается."
"Revision successfully copied.","Версия успешно скопирована."
"Failed to copy the revision.","Не удалось скопировать версию."
"Internal error.","Внутренняя ошибка."
"Revision not found!","Версия не найден!"
"The requested revisions was not found","Запрошенные версии не найдены"
"The file &quot;%s&quot; was not found.","Файл &quot;%s&quot; не найден."
"Invalid file type!","Неправильный тип файла!"
"The file &quot;%s&quot; can't be downloaded.","Файл &quot;%s&quot; не может быть загружен.."
"Internal error!","Внутренняя ошибка!"
"Application encountered an internal error.","Произошла внутренняя ошибка приложения."
"File Revisions","Версии файла"
"File: <strong>%s</strong>","Файл: <strong>%s</strong>"
"No revisions found.","Версии не найдены."
"Available revisions (most recent first):","Доступные версии (сначала новейшие):"
"Download this revision","Скачать версию"
"Rev. %d","Версия %d"
"Restore","Восстановить"
"Cancel","Отмена"
"Failed to create temporary directory","Не удалось создать временную папку"
"Update failed: the current password isn't valid.","Обновление не удалось: текущий пароль некорректен."
"Internal error: update failed.","Внутренняя ошибка: обновление не удалось."
"Account preferences successfully updated.","Версии учётной записи успешно обновлены."
"Language","Язык"
"You can download SXDrive here:","Вы можете скачать SXDrive здесь:"
"SXDrive downloads","Загрузки SXDrive"
"Account management is currently disabled.","Управление учётными записями сейчас отключено."
"Invalid credentials!","Неправильные полномочия!"
"Your credentials are changed, please authenticate again.","Ваши полномочия изменены. Пожалуйста, войдите снова."
"Sign in again...","Войти снова..."
"Lets you sign in again","Давайте зайдем снова"
"Preview this revision","Изучить эту версию"
"Rev.","Версия"
"Passwords mismatch","Пароли не совпадают"
"The file is already shared: the password and the expire time will be updated.","Вы уже поделились этим файлом. Пароль и время действия общего доступа будет обновлено."
"The file is already shared: the password and the expire time will be updated.","The file is already shared: the password and the expire time will be updated."
"Passwords mismatch.","Пароли не совпадают."
"Setting volume password failed.","Не удалось установить пароль раздела."
"Setting volume password failed: wrong password!","Не удалось установить пароль раздела: неверный пароль!"
"Invalid volume password.","Неправильный пароль раздела."
"Files to show:","Файлы для показа:"
"All","Все"
"Failed to update file list page size.","Не удалось обновить размер страницы списка файлов."
"Internal error. Failed to update file list page size.","Внутренняя ошибка. Не удалось обновить размер страницы списка файлов."
"Invalid value, failed to update file list page size.","Некорректное значение, не удалось обновить размер страницы списка файлов."
"The value must be an integer between 1 and 65535 or an empty string","Значение должно быть целым числом от 1 до 65535, либо пустой строкой"
"Manage volumes","Управление разделами"
"No volumes found!","Разделы не найдены!"
"Owner","Владелец"
"Replica","Реплика"
"Filter","Фильтр"
"Access","Доступ"
"Used Space","Использованное пространство"
"Read","Читать"
"Write","Записывать"
"Read, Write","Читать и записывать"
"Manage Volume","Управление разделом"
"Manage the volume","Управление разделом"
"Go to volume list...","Перейти в список разделов..."
"Manage Volume: %s","Управление разделом: %s"
"Volume Info","Volume Информация"
"Change...","Изменить..."
"Manage another volume...","Управление другим разделом..."
"Volume Access Control List","Список доступа к разделу"
"Add user...","Добавить пользователя..."
"Fatal error: invalid volume.","Ошибка: некорректный раздел."
"Volume not found.","Раздел не найден."
"You don't have the rights to manage this volume.","У вас нет прав для управления этим разделом."
"Fatal error: invalid operation.","Ошибка: некорректная операция."
"Fatal error: invalid request.","Ошибка: некорректный запрос."
"Invalid maximum revision limit.","Некорректный лимит на количество версий."
"Successfully set maximum revision limit.","Лимит количества версий успешно установлен."
"Maximum revisions limit unchanged.","Лимит количества версий не изменен."
"Failed to set maximum revision limit.","Не удалось установить лимит количества версий."
"Fatal error: invalid user.","Ошибка: некорректный пользователь."
"Fatal error: invalid permissions.","Ошибка: некорректные права доступа."
"Successfully changed user privileges.","Привилегии пользователя успешно изменены."
"Failed to change user privileges.","Не удалось изменить привилегии пользователя."
"Failed to change user privileges: user not found.","Не удалось изменить привилегии пользователя: пользователь не найден."
"User","Пользователь"
"Privileges","Привилегии"
"The SX Cluster is unreachable, please try again later or contact your sysadmin.","SX Cluster недоступен. Пожалуйста, попробуйте позже, либо свяжитесь с администратором."
"Settings","Настройки"
"Allows you to change your password","Позволяет сменить ваш пароль"
"Change your password","Поменять ваш пароль"
"Go back to settings...","Вернуться в настройки..."
"Browse the volume...","Обзор раздела..."
"Download SXDrive config file","Скачать конфигурационный файл для SXDrive"
"owner","Владелец"
"read","Читать"
"write","Записывать"
"manager","Управление"
"Powered by %s.","При поддержке %s."
"The email is invalid, please check it and retry.","Некорректный емейл, проверьте его и повторите."
"Failed to send the email, please try again later.","Не удалось отправить письмо. Попробуйте снова чуть позже."
"SXWeb - Password Reset Request","SXWeb - запрос сброса пароля"
"You have requested too many password reset tickets, please wait 24 hours and retry.","Вы запрашивали сброс пароля слишком часто, пожалуйста подождите 24 часа и повторите."
"SXWeb - Change your password","SXWeb - Смена вашего пароля"
"To change your password please follow this link: %s","Чтобы поменять ваш пароль, проследуйте по ссылке: %s"
"This link is valid for 24 hours.","Ссылка действует 24 часа."
"This message was generated automatically.","Это сообщение создано автоматически."
"We have sent you an email with a link to follow to reset your password.","Вам выслано письмо со ссылкой для сброса пароля."
"Change password","Сменить пароль"   
"Change!","Сменить!"
"Invalid password: should be between %min% and %max% alphanumeric chars.","Некорректный пароль: должен состоять из %min%-%max% букв и цифр."
"Invalid password: is less than %min% characters long","Некорректный пароль: меньше %min% символов длиной"
"Invalid password: is more than %max% characters long","Некорректный пароль: больше %max% символов длиной"
"Invalid passwords, please check and retry.","Некорректные пароли, пожалуйста проверьте и повторите."
"Failed to change the user password, please retry.","Не удалось сменить пароль, пожалуйсте попробуйте ещё раз."
"Password successfully changed!","Пароль успешно изменён!"
"Invalid or expired user token, please retry.","Токен пользователя некорректный либо с истекшим сроком годности. Попробуйте ещё раз."
"Invalid reset password hash, please retry.","Некорректный хэш сброса пароля. Попробуйте ещё раз."

